antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({296}),frozenset({527}),0.47540983606557374,0.34098360655737703,0.22950819672131148,0.4827586206896552,1.4157824933687004,0.06740123622682076,1.274098360655738
frozenset({356}),"frozenset({296, 593})",0.521311475409836,0.32131147540983607,0.24918032786885247,0.47798742138364786,1.4876139134899244,0.08167696855683959,1.3001382579498324
frozenset({2571}),"frozenset({296, 2959})",0.43278688524590164,0.2459016393442623,0.20655737704918034,0.4772727272727273,1.940909090909091,0.100134372480516,1.4426229508196722
frozenset({2571}),frozenset({3578}),0.43278688524590164,0.25573770491803277,0.20655737704918034,0.4772727272727273,1.8662587412587415,0.09587745229776944,1.4238061297220244
frozenset({2571}),"frozenset({318, 2959})",0.43278688524590164,0.2573770491803279,0.20655737704918034,0.4772727272727273,1.8543717429067748,0.09516796560064499,1.4206699928724162
frozenset({2571}),"frozenset({1210, 260, 1196})",0.43278688524590164,0.23934426229508196,0.20655737704918034,0.4772727272727273,1.994084682440847,0.10297231926901372,1.455167498218104
frozenset({2571}),"frozenset({296, 318})",0.43278688524590164,0.3475409836065574,0.20655737704918034,0.4772727272727273,1.3732847341337908,0.056146197258801406,1.2481824661439773
frozenset({356}),frozenset({260}),0.521311475409836,0.3918032786885246,0.24754098360655738,0.47484276729559755,1.2119417910055,0.04328943832303145,1.1581230980661628
frozenset({593}),"frozenset({296, 47})",0.4426229508196721,0.2639344262295082,0.2098360655737705,0.4740740740740741,1.7961812744421441,0.0930126310131685,1.3995613022396676
frozenset({2571}),"frozenset({296, 593})",0.43278688524590164,0.32131147540983607,0.20491803278688525,0.4734848484848485,1.473600803957947,0.0658586401504972,1.2890199315957072
frozenset({2571}),"frozenset({4993, 7153})",0.43278688524590164,0.2540983606557377,0.20491803278688525,0.4734848484848485,1.8633919843597264,0.09494759473259877,1.4166764948696782
frozenset({296}),frozenset({2858}),0.47540983606557374,0.31475409836065577,0.22459016393442624,0.47241379310344833,1.5008979885057472,0.07495296963181941,1.2988321011464694
frozenset({318}),"frozenset({593, 356})",0.5131147540983606,0.30983606557377047,0.24098360655737705,0.46964856230031954,1.5157969471068515,0.0820021499596883,1.3013332016590955
frozenset({296}),"frozenset({480, 356})",0.47540983606557374,0.2967213114754098,0.22295081967213115,0.46896551724137936,1.580491522194704,0.08188658962644452,1.3243559718969558
frozenset({593}),frozenset({2858}),0.4426229508196721,0.31475409836065577,0.20655737704918034,0.46666666666666673,1.482638888888889,0.06723998925020155,1.2848360655737707
frozenset({593}),frozenset({608}),0.4426229508196721,0.2836065573770492,0.20655737704918034,0.46666666666666673,1.6454720616570329,0.08102660575114218,1.343237704918033
frozenset({2571}),"frozenset({5952, 4993})",0.43278688524590164,0.2573770491803279,0.20163934426229507,0.4659090909090909,1.8102200347423274,0.09024993281375972,1.390442971747471
frozenset({2571}),frozenset({858}),0.43278688524590164,0.2983606557377049,0.20163934426229507,0.4659090909090909,1.5615634365634363,0.07251276538564899,1.313707708405999
frozenset({296}),frozenset({608}),0.47540983606557374,0.2836065573770492,0.22131147540983606,0.4655172413793104,1.6414191748056608,0.08648212846009137,1.34034902168165
frozenset({356}),frozenset({2959}),0.521311475409836,0.34262295081967215,0.24262295081967214,0.4654088050314466,1.358370196503265,0.06400967481859718,1.2296817743490842
frozenset({593}),"frozenset({296, 2571})",0.4426229508196721,0.27049180327868855,0.20491803278688525,0.46296296296296297,1.711560044893378,0.08519215264713786,1.358394573205201
frozenset({593}),"frozenset({296, 356, 318})",0.4426229508196721,0.27049180327868855,0.20491803278688525,0.46296296296296297,1.711560044893378,0.08519215264713786,1.358394573205201
frozenset({356}),"frozenset({593, 318})",0.521311475409836,0.31475409836065577,0.24098360655737705,0.4622641509433963,1.4686517295597485,0.07689868314969095,1.2743169398907102
frozenset({2571}),"frozenset({260, 1198})",0.43278688524590164,0.24754098360655738,0.2,0.46212121212121215,1.8668472807545657,0.09286750873421125,1.3989378896328792
frozenset({2571}),frozenset({527}),0.43278688524590164,0.34098360655737703,0.2,0.46212121212121215,1.3552593240093243,0.052426766998118796,1.2252135765412147
frozenset({296}),"frozenset({2571, 356})",0.47540983606557374,0.2901639344262295,0.21967213114754097,0.46206896551724136,1.5924410676017922,0.08172534264982531,1.3195670449768813
frozenset({318}),frozenset({260}),0.5131147540983606,0.3918032786885246,0.2360655737704918,0.4600638977635783,1.174221663748045,0.03502553077129805,1.1264235134348626
frozenset({593}),frozenset({858}),0.4426229508196721,0.2983606557377049,0.20327868852459016,0.45925925925925926,1.5392755392755393,0.07121741467347487,1.2975522119919154
frozenset({593}),"frozenset({480, 356})",0.4426229508196721,0.2967213114754098,0.20327868852459016,0.45925925925925926,1.5477798240229181,0.07194302606826122,1.3005838760386257
frozenset({296}),"frozenset({356, 110})",0.47540983606557374,0.28032786885245903,0.21639344262295082,0.45517241379310347,1.6237144585601937,0.0831228164471916,1.3209172027391574
frozenset({318}),frozenset({480}),0.5131147540983606,0.3622950819672131,0.23278688524590163,0.4536741214057508,1.2522226880430227,0.04688793335124969,1.1672610487968558
frozenset({356}),frozenset({1}),0.521311475409836,0.33934426229508197,0.2360655737704918,0.45283018867924535,1.334427126059612,0.05916151572158024,1.2074053137365746
frozenset({593}),"frozenset({356, 110})",0.4426229508196721,0.28032786885245903,0.2,0.4518518518518519,1.6118691791206412,0.07592045149153454,1.3129153743907844
frozenset({593}),"frozenset({1196, 260})",0.4426229508196721,0.2983606557377049,0.2,0.4518518518518519,1.5144485144485145,0.06793872614888471,1.2800177226406735
frozenset({593}),frozenset({150}),0.4426229508196721,0.3081967213114754,0.2,0.4518518518518519,1.4661150512214343,0.06358505778016663,1.262073548958795
frozenset({296}),frozenset({1196}),0.47540983606557374,0.3344262295081967,0.21475409836065573,0.4517241379310345,1.3507437457741718,0.055764579414135984,1.2139395814001444
frozenset({296}),"frozenset({50, 318})",0.47540983606557374,0.2573770491803279,0.21475409836065573,0.4517241379310345,1.7551065231715353,0.09239451760279493,1.3544695329415404
frozenset({296}),frozenset({150}),0.47540983606557374,0.3081967213114754,0.21475409836065573,0.4517241379310345,1.465700660308144,0.0682343456060199,1.2617795649035985
frozenset({296}),frozenset({592}),0.47540983606557374,0.29180327868852457,0.21475409836065573,0.4517241379310345,1.5480433940333205,0.07602794947594735,1.2916795545932571
frozenset({356}),frozenset({47}),0.521311475409836,0.31311475409836065,0.23442622950819672,0.449685534591195,1.4361684612598373,0.07119591507659234,1.248168618266979
frozenset({356}),frozenset({457}),0.521311475409836,0.30491803278688523,0.23442622950819672,0.449685534591195,1.4747751403259621,0.07546895995700081,1.2630632318501172
frozenset({356}),frozenset({50}),0.521311475409836,0.3262295081967213,0.23442622950819672,0.449685534591195,1.3784330457318037,0.06435904326793873,1.224337236533958
frozenset({296}),"frozenset({110, 318})",0.47540983606557374,0.260655737704918,0.21311475409836064,0.4482758620689655,1.7198004771199307,0.08919645256651439,1.3400614754098361
frozenset({318}),frozenset({47}),0.5131147540983606,0.31311475409836065,0.22950819672131148,0.44728434504792336,1.42849974072897,0.06884439666756251,1.2427461385388043
frozenset({318}),frozenset({150}),0.5131147540983606,0.3081967213114754,0.22950819672131148,0.44728434504792336,1.4512949493576237,0.07136791185165281,1.2516440822514927
frozenset({296}),"frozenset({318, 47})",0.47540983606557374,0.22950819672131148,0.21147540983606558,0.4448275862068966,1.9381773399014781,0.10236495565708144,1.38784237857652
frozenset({318}),frozenset({589}),0.5131147540983606,0.3540983606557377,0.2278688524590164,0.44408945686900964,1.2541415217134069,0.04617575920451494,1.1618805351422652
frozenset({296}),"frozenset({593, 47})",0.47540983606557374,0.23278688524590163,0.2098360655737705,0.44137931034482764,1.896066051481302,0.09916689062080088,1.3734061930783241
frozenset({296}),frozenset({1}),0.47540983606557374,0.33934426229508197,0.2098360655737705,0.44137931034482764,1.3006829918374148,0.04850846546627252,1.182655332928557
frozenset({296}),frozenset({457}),0.47540983606557374,0.30491803278688523,0.2098360655737705,0.44137931034482764,1.4475342973674457,0.06487503359312013,1.2442825339000203
frozenset({296}),frozenset({858}),0.47540983606557374,0.2983606557377049,0.2081967213114754,0.4379310344827586,1.4677908298597953,0.06635313087879602,1.2483153977672734
frozenset({296}),"frozenset({356, 589})",0.47540983606557374,0.26229508196721313,0.2081967213114754,0.4379310344827586,1.6696120689655172,0.08349905939263638,1.3124811425123202
frozenset({296}),"frozenset({2571, 318})",0.47540983606557374,0.2819672131147541,0.20655737704918034,0.4344827586206897,1.5408981555733763,0.0725073904864284,1.2696921231507396
frozenset({296}),"frozenset({356, 47})",0.47540983606557374,0.23442622950819672,0.20655737704918034,0.4344827586206897,1.8533879913190259,0.09510884170921798,1.3537584966013594
frozenset({296}),frozenset({32}),0.47540983606557374,0.2836065573770492,0.20655737704918034,0.4344827586206897,1.5319912298186167,0.07172803009943565,1.266793282686925
frozenset({296}),"frozenset({2571, 2959})",0.47540983606557374,0.26885245901639343,0.20655737704918034,0.4344827586206897,1.6160639192598825,0.07874227358237035,1.2928828468612554
